Price,Date,Close,High,Low,Open,Volume
Ticker,,BTG,BTG,BTG,BTG,BTG
0,2025-03-27,3.1700000762939453,3.180000066757202,3.069999933242798,3.1500000953674316,37277400
1,2025-03-28,2.880000114440918,3.140000104904175,2.8499999046325684,3.119999885559082,50563800
2,2025-03-31,2.8499999046325684,2.940000057220459,2.7899999618530273,2.940000057220459,26082900
3,2025-04-01,2.9000000953674316,2.950000047683716,2.8299999237060547,2.890000104904175,47870500
4,2025-04-02,2.9200000762939453,2.9700000286102295,2.880000114440918,2.9100000858306885,41104100
5,2025-04-03,2.9200000762939453,2.9800000190734863,2.7200000286102295,2.75,52978500
6,2025-04-04,2.6500000953674316,2.809999942779541,2.5999999046325684,2.759999990463257,47403700
7,2025-04-07,2.640000104904175,2.819999933242798,2.5299999713897705,2.5799999237060547,42606100
8,2025-04-08,2.6600000858306885,2.809999942779541,2.619999885559082,2.759999990463257,65768400
9,2025-04-09,2.9000000953674316,2.930000066757202,2.7200000286102295,2.7899999618530273,67605800
10,2025-04-10,3.059999942779541,3.0999999046325684,2.9100000858306885,2.9100000858306885,54512300
11,2025-04-11,3.240000009536743,3.319999933242798,3.2100000381469727,3.240000009536743,57285400
12,2025-04-14,3.4100000858306885,3.4100000858306885,3.1500000953674316,3.1700000762939453,56574200
13,2025-04-15,3.309999942779541,3.4100000858306885,3.240000009536743,3.4100000858306885,66357700
14,2025-04-16,3.3499999046325684,3.509999990463257,3.180000066757202,3.450000047683716,66273500
15,2025-04-17,3.319999933242798,3.3499999046325684,3.25,3.319999933242798,56990400
16,2025-04-21,3.4000000953674316,3.509999990463257,3.3299999237060547,3.450000047683716,89445200
17,2025-04-22,3.2699999809265137,3.440000057220459,3.259999990463257,3.4200000762939453,72733500
18,2025-04-23,3.1600000858306885,3.200000047683716,3.0999999046325684,3.1500000953674316,51127600
19,2025-04-24,3.1500000953674316,3.2300000190734863,3.119999885559082,3.200000047683716,59809300
20,2025-04-25,3.0799999237060547,3.109999895095825,3.0199999809265137,3.0199999809265137,57354300
