Price,Date,Close,High,Low,Open,Volume
Ticker,,UAA,UAA,UAA,UAA,UAA
0,2025-03-27,6.349999904632568,6.400000095367432,6.25,6.28000020980835,9417100
1,2025-03-28,6.300000190734863,6.360000133514404,6.210000038146973,6.25,9587900
2,2025-03-31,6.25,6.28000020980835,6.099999904632568,6.21999979019165,8206200
3,2025-04-01,6.349999904632568,6.400000095367432,6.239999771118164,6.300000190734863,15193500
4,2025-04-02,6.599999904632568,6.690000057220459,6.28000020980835,6.300000190734863,12764700
5,2025-04-03,5.360000133514404,5.96999979019165,5.300000190734863,5.949999809265137,35641000
6,2025-04-04,5.260000228881836,5.559999942779541,4.840000152587891,5.0,30143100
7,2025-04-07,5.239999771118164,5.380000114440918,4.820000171661377,5.0,35991000
8,2025-04-08,4.940000057220459,5.53000020980835,4.820000171661377,5.53000020980835,22137200
9,2025-04-09,5.630000114440918,5.849999904632568,4.78000020980835,4.889999866485596,38424600
10,2025-04-10,5.199999809265137,5.53000020980835,4.989999771118164,5.510000228881836,17277000
11,2025-04-11,5.190000057220459,5.25,4.960000038146973,5.179999828338623,15701200
12,2025-04-14,5.440000057220459,5.519999980926514,5.239999771118164,5.340000152587891,16034200
13,2025-04-15,5.739999771118164,5.900000095367432,5.46999979019165,5.46999979019165,18496600
14,2025-04-16,5.559999942779541,5.789999961853027,5.449999809265137,5.699999809265137,8638500
15,2025-04-17,5.829999923706055,5.860000133514404,5.550000190734863,5.559999942779541,16458700
16,2025-04-21,5.739999771118164,5.789999961853027,5.550000190734863,5.789999961853027,13400200
17,2025-04-22,5.860000133514404,5.920000076293945,5.730000019073486,5.800000190734863,10311900
18,2025-04-23,5.78000020980835,6.179999828338623,5.78000020980835,6.099999904632568,10677900
19,2025-04-24,5.800000190734863,5.949999809265137,5.760000228881836,5.929999828338623,12607000
20,2025-04-25,5.710000038146973,5.829999923706055,5.659999847412109,5.809999942779541,14029700
